Name,Policy,Comment,Type
Mohit,Clean Ganga Mission,"Really happy with the Clean Ganga Mission, it's very progressive.",positive
Sunita,Digital India Policy,"Really happy with the Digital India Policy, it's very progressive.",positive
Akash,Smart Cities Mission,Consider reducing bureaucracy delays under the Smart Cities Mission.,suggestion
Rajesh,Education Reform Bill,"I don't think the Education Reform Bill is practical, it will face many issues.",negative
Jyoti,Education Reform Bill,"Not satisfied with the Education Reform Bill, it doesn't solve ground-level problems.",negative
Sai,Smart Cities Mission,The Smart Cities Mission should focus more on youth involvement.,suggestion
Kunal,Smart Cities Mission,"The Smart Cities Mission is too complicated, common people won't benefit much.",negative
Alok,Education Reform Bill,The Education Reform Bill is good but should include rural areas more effectively.,suggestion
Kavita,Environmental Protection Act,"Really happy with the Environmental Protection Act, it's very progressive.",positive
Mohit,Healthcare Access Policy,Add more awareness campaigns for the Healthcare Access Policy so people understand it better.,suggestion
Rajesh,Environmental Protection Act,"The Environmental Protection Act is too complicated, common people won't benefit much.",negative
Aditya,National Agriculture Policy,The National Agriculture Policy should focus more on youth involvement.,suggestion
Kunal,Environmental Protection Act,"A much needed Environmental Protection Act, thank you for implementing this.",positive
Ishaan,Smart Cities Mission,"This Smart Cities Mission will bring positive changes, proud of this initiative.",positive
Kunal,Education Reform Bill,The Education Reform Bill should focus more on youth involvement.,suggestion
Shivani,Digital India Policy,The Digital India Policy is good but should include rural areas more effectively.,suggestion
Deepak,Smart Cities Mission,The Smart Cities Mission is good but should include rural areas more effectively.,suggestion
Siddharth,Digital India Policy,This Digital India Policy seems more like a political stunt than a real solution.,negative
Priya,Education Reform Bill,This Education Reform Bill seems more like a political stunt than a real solution.,negative
Aditya,Digital India Policy,This Digital India Policy lacks proper planning and execution.,negative
Shivani,Education Reform Bill,This Education Reform Bill seems more like a political stunt than a real solution.,negative
Ishita,Smart Cities Mission,"Really happy with the Smart Cities Mission, it's very progressive.",positive
Ananya,National Agriculture Policy,The National Agriculture Policy is good but should include rural areas more effectively.,suggestion
Sai,Women Empowerment Policy,The Women Empowerment Policy should focus more on youth involvement.,suggestion
Vikram,Cybersecurity Framework,"A much needed Cybersecurity Framework, thank you for implementing this.",positive
Ishita,Startup India Initiative,Add more awareness campaigns for the Startup India Initiative so people understand it better.,suggestion
Vihaan,Smart Cities Mission,This Smart Cities Mission lacks proper planning and execution.,negative
Geeta,National Agriculture Policy,The National Agriculture Policy should focus more on youth involvement.,suggestion
Jyoti,National Agriculture Policy,The National Agriculture Policy should focus more on youth involvement.,suggestion
Arjun,Education Reform Bill,The Education Reform Bill should focus more on youth involvement.,suggestion
Amit,Healthcare Access Policy,Please add more transparency to the Healthcare Access Policy for better trust.,suggestion
Harshit,Women Empowerment Policy,"The Women Empowerment Policy is very beneficial for common people, excellent move.",positive
Sunita,Clean Ganga Mission,"I don't think the Clean Ganga Mission is practical, it will face many issues.",negative
Shivani,Education Reform Bill,"The Education Reform Bill is too complicated, common people won't benefit much.",negative
Arjun,Environmental Protection Act,This Environmental Protection Act seems more like a political stunt than a real solution.,negative
Diya,Digital India Policy,The Digital India Policy should focus more on youth involvement.,suggestion
Kunal,Healthcare Access Policy,"Not satisfied with the Healthcare Access Policy, it doesn't solve ground-level problems.",negative
Aditya,Clean Ganga Mission,The Clean Ganga Mission is good but should include rural areas more effectively.,suggestion
Mohit,National Agriculture Policy,Add more awareness campaigns for the National Agriculture Policy so people understand it better.,suggestion
Ananya,National Agriculture Policy,"I really support the National Agriculture Policy, it's a great step for our nation.",positive
Shivani,Smart Cities Mission,Add more awareness campaigns for the Smart Cities Mission so people understand it better.,suggestion
Arjun,Women Empowerment Policy,"The Women Empowerment Policy is too complicated, common people won't benefit much.",negative
Meera,Healthcare Access Policy,"This Healthcare Access Policy will bring positive changes, proud of this initiative.",positive
Meera,Startup India Initiative,"I really support the Startup India Initiative, it's a great step for our nation.",positive
Akash,Smart Cities Mission,"The Smart Cities Mission is very beneficial for common people, excellent move.",positive
Manoj,Environmental Protection Act,The Environmental Protection Act should focus more on youth involvement.,suggestion
Amit,Cybersecurity Framework,"Really happy with the Cybersecurity Framework, it's very progressive.",positive
Siddharth,Cybersecurity Framework,"The Cybersecurity Framework is very beneficial for common people, excellent move.",positive
Shivani,Women Empowerment Policy,Add more awareness campaigns for the Women Empowerment Policy so people understand it better.,suggestion
Nikhil,Clean Ganga Mission,"A much needed Clean Ganga Mission, thank you for implementing this.",positive
Aarav,Environmental Protection Act,The Environmental Protection Act is good but should include rural areas more effectively.,suggestion
Ishita,Digital India Policy,This Digital India Policy seems more like a political stunt than a real solution.,negative
Shivani,Cybersecurity Framework,The Cybersecurity Framework should focus more on youth involvement.,suggestion
Sneha,Startup India Initiative,Consider reducing bureaucracy delays under the Startup India Initiative.,suggestion
Rohan,Digital India Policy,"Really happy with the Digital India Policy, it's very progressive.",positive
Riya,Education Reform Bill,"I don't think the Education Reform Bill is practical, it will face many issues.",negative
Aarav,Healthcare Access Policy,This Healthcare Access Policy seems more like a political stunt than a real solution.,negative
Sunita,Digital India Policy,Please add more transparency to the Digital India Policy for better trust.,suggestion
Pooja,Women Empowerment Policy,The Women Empowerment Policy is good but should include rural areas more effectively.,suggestion
Kunal,Cybersecurity Framework,"Not satisfied with the Cybersecurity Framework, it doesn't solve ground-level problems.",negative
Aditya,Startup India Initiative,"I don't think the Startup India Initiative is practical, it will face many issues.",negative
Ananya,National Agriculture Policy,This National Agriculture Policy lacks proper planning and execution.,negative
Neha,Women Empowerment Policy,"A much needed Women Empowerment Policy, thank you for implementing this.",positive
Vihaan,National Agriculture Policy,"The National Agriculture Policy is very beneficial for common people, excellent move.",positive
Kavita,Education Reform Bill,The Education Reform Bill is good but should include rural areas more effectively.,suggestion
Alok,Digital India Policy,The Digital India Policy should focus more on youth involvement.,suggestion
Aditya,Healthcare Access Policy,"The Healthcare Access Policy is too complicated, common people won't benefit much.",negative
Amit,Clean Ganga Mission,"Really happy with the Clean Ganga Mission, it's very progressive.",positive
Shivani,National Agriculture Policy,This National Agriculture Policy lacks proper planning and execution.,negative
Rohan,Cybersecurity Framework,"I really support the Cybersecurity Framework, it's a great step for our nation.",positive
Kavita,Digital India Policy,"The Digital India Policy is very beneficial for common people, excellent move.",positive
Rajesh,Healthcare Access Policy,The Healthcare Access Policy should focus more on youth involvement.,suggestion
