Name,Policy,Comment,Type,State,City
Kabir,Education Reform Policy,"The idea is good, execution will matter.",neutral,Maharashtra,Pune
Sanya,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Meera,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Tamil Nadu,Chennai
Sanya,Digital Privacy Act,A waste of resources and poorly planned.,negative,Gujarat,Surat
Meera,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,Kerala,Kochi
Meera,Healthcare Access Policy,This initiative will improve lives and create opportunities.,positive,Uttar Pradesh,Varanasi
Aarav,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,West Bengal,Siliguri
Aditya,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Rajasthan,Udaipur
Isha,Environmental Protection Act,Happy to see this reform being implemented.,positive,Uttar Pradesh,Lucknow
Meera,Healthcare Access Policy,This step is crucial for a better future.,positive,Uttar Pradesh,Lucknow
Rohan,Environmental Protection Act,This step is crucial for a better future.,positive,Punjab,Amritsar
Harshit,Digital Privacy Act,"This will bring positive changes, I support it fully.",positive,West Bengal,Howrah
Sanya,Education Reform Policy,Let's see how this works in practice.,neutral,West Bengal,Howrah
Ananya,Healthcare Access Policy,The implementation will likely fail like before.,negative,Gujarat,Surat
Aditya,Education Reform Policy,Too early to judge its effectiveness.,neutral,Kerala,Thiruvananthapuram
Isha,Healthcare Access Policy,The implementation will likely fail like before.,negative,Uttar Pradesh,Kanpur
Ananya,Transport Safety Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Ananya,Transport Safety Policy,This is just another headline without substance.,negative,West Bengal,Howrah
Aditya,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Gujarat,Surat
Meera,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,Maharashtra,Pune
Harshit,Workplace Equality Policy,Neither good nor bad at this stage.,neutral,Punjab,Chandigarh
Rohan,Environmental Protection Act,This step is crucial for a better future.,positive,Karnataka,Bengaluru
Aarav,Workplace Equality Policy,This is just another headline without substance.,negative,Gujarat,Ahmedabad
Harshit,Digital Privacy Act,Mixed feelings about this policy.,neutral,Punjab,Amritsar
Ananya,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Ananya,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Howrah
Rohan,Transport Safety Policy,Happy to see this reform being implemented.,positive,Karnataka,Mangalore
Ananya,Education Reform Policy,This step is crucial for a better future.,positive,Karnataka,Bengaluru
Diya,Environmental Protection Act,Not sure if this will help in real situations.,negative,Rajasthan,Jaipur
Aarav,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Aarav,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Punjab,Amritsar
Ananya,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Mysuru
Isha,Transport Safety Policy,The implementation will likely fail like before.,negative,Kerala,Thiruvananthapuram
Isha,Education Reform Policy,Mixed feelings about this policy.,neutral,Maharashtra,Nagpur
Isha,Housing Development Scheme,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Harshit,Digital Privacy Act,Happy to see this reform being implemented.,positive,Kerala,Kozhikode
Harshit,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Tamil Nadu,Chennai
Diya,Transport Safety Policy,Too early to judge its effectiveness.,neutral,West Bengal,Howrah
Rohan,Transport Safety Policy,This is just another headline without substance.,negative,Karnataka,Mysuru
Rohan,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Maharashtra,Mumbai
Rohan,Workplace Equality Policy,"This will bring positive changes, I support it fully.",positive,Punjab,Ludhiana
Kabir,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Punjab,Amritsar
Harshit,Environmental Protection Act,The implementation will likely fail like before.,negative,Gujarat,Surat
Diya,Renewable Energy Adoption Policy,"A very thoughtful policy, proud of this government.",positive,Maharashtra,Mumbai
Ananya,Workplace Equality Policy,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Isha,Cybersecurity Protection Policy,A waste of resources and poorly planned.,negative,Punjab,Amritsar
Kabir,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Kerala,Kochi
Isha,Digital Privacy Act,Not sure if this will help in real situations.,negative,Delhi,New Delhi
Isha,Workplace Equality Policy,This step is crucial for a better future.,positive,Delhi,New Delhi
Sanya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Rajasthan,Jaipur
Isha,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Mumbai
Diya,Healthcare Access Policy,Neither good nor bad at this stage.,neutral,Gujarat,Ahmedabad
Rohan,Workplace Equality Policy,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Ananya,Environmental Protection Act,This step is crucial for a better future.,positive,Tamil Nadu,Chennai
Sanya,Transport Safety Policy,This seems more like a political stunt than a real solution.,negative,Gujarat,Surat
Aditya,Workplace Equality Policy,"The idea is good, execution will matter.",neutral,Punjab,Ludhiana
Aarav,Healthcare Access Policy,This step is crucial for a better future.,positive,Delhi,New Delhi
Aditya,Healthcare Access Policy,This step is crucial for a better future.,positive,Punjab,Ludhiana
Aditya,Education Reform Policy,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Meera,Digital Privacy Act,Let's see how this works in practice.,neutral,Punjab,Chandigarh
Meera,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,West Bengal,Kolkata
Isha,Agriculture Sustainability Act,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
