Name,Policy,Comment,Type,State,City
Kabir,Education Reform Policy,"The idea is good, execution will matter.",neutral,Maharashtra,Pune
Sanya,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Meera,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Tamil Nadu,Chennai
Sanya,Digital Privacy Act,A waste of resources and poorly planned.,negative,Gujarat,Surat
Meera,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,Kerala,Kochi
Meera,Healthcare Access Policy,This initiative will improve lives and create opportunities.,positive,Uttar Pradesh,Varanasi
Aarav,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,West Bengal,Siliguri
Aditya,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Rajasthan,Udaipur
Isha,Environmental Protection Act,Happy to see this reform being implemented.,positive,Uttar Pradesh,Lucknow
Meera,Healthcare Access Policy,This step is crucial for a better future.,positive,Uttar Pradesh,Lucknow
Rohan,Environmental Protection Act,This step is crucial for a better future.,positive,Punjab,Amritsar
Harshit,Digital Privacy Act,"This will bring positive changes, I support it fully.",positive,West Bengal,Howrah
Sanya,Education Reform Policy,Let's see how this works in practice.,neutral,West Bengal,Howrah
Ananya,Healthcare Access Policy,The implementation will likely fail like before.,negative,Gujarat,Surat
Aditya,Education Reform Policy,Too early to judge its effectiveness.,neutral,Kerala,Thiruvananthapuram
Isha,Healthcare Access Policy,The implementation will likely fail like before.,negative,Uttar Pradesh,Kanpur
Ananya,Transport Safety Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Ananya,Transport Safety Policy,This is just another headline without substance.,negative,West Bengal,Howrah
Aditya,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Gujarat,Surat
Meera,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,Maharashtra,Pune
Harshit,Workplace Equality Policy,Neither good nor bad at this stage.,neutral,Punjab,Chandigarh
Rohan,Environmental Protection Act,This step is crucial for a better future.,positive,Karnataka,Bengaluru
Aarav,Workplace Equality Policy,This is just another headline without substance.,negative,Gujarat,Ahmedabad
Harshit,Digital Privacy Act,Mixed feelings about this policy.,neutral,Punjab,Amritsar
Ananya,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Ananya,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Howrah
Rohan,Transport Safety Policy,Happy to see this reform being implemented.,positive,Karnataka,Mangalore
Ananya,Education Reform Policy,This step is crucial for a better future.,positive,Karnataka,Bengaluru
Diya,Environmental Protection Act,Not sure if this will help in real situations.,negative,Rajasthan,Jaipur
Aarav,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Aarav,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Punjab,Amritsar
Ananya,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Mysuru
Isha,Transport Safety Policy,The implementation will likely fail like before.,negative,Kerala,Thiruvananthapuram
Isha,Education Reform Policy,Mixed feelings about this policy.,neutral,Maharashtra,Nagpur
Isha,Housing Development Scheme,"A very thoughtful policy, proud of this government.",positive,Delhi,New Delhi
Harshit,Digital Privacy Act,Happy to see this reform being implemented.,positive,Kerala,Kozhikode
Harshit,Environmental Protection Act,This seems more like a political stunt than a real solution.,negative,Tamil Nadu,Chennai
Diya,Transport Safety Policy,Too early to judge its effectiveness.,neutral,West Bengal,Howrah
Rohan,Transport Safety Policy,This is just another headline without substance.,negative,Karnataka,Mysuru
Rohan,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Maharashtra,Mumbai
Rohan,Workplace Equality Policy,"This will bring positive changes, I support it fully.",positive,Punjab,Ludhiana
Kabir,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Punjab,Amritsar
Harshit,Environmental Protection Act,The implementation will likely fail like before.,negative,Gujarat,Surat
Diya,Renewable Energy Adoption Policy,"A very thoughtful policy, proud of this government.",positive,Maharashtra,Mumbai
Ananya,Workplace Equality Policy,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Isha,Cybersecurity Protection Policy,A waste of resources and poorly planned.,negative,Punjab,Amritsar
Kabir,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Kerala,Kochi
Isha,Digital Privacy Act,Not sure if this will help in real situations.,negative,Delhi,New Delhi
Isha,Workplace Equality Policy,This step is crucial for a better future.,positive,Delhi,New Delhi
Sanya,Environmental Protection Act,"This will bring positive changes, I support it fully.",positive,Rajasthan,Jaipur
Isha,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Mumbai
Diya,Healthcare Access Policy,Neither good nor bad at this stage.,neutral,Gujarat,Ahmedabad
Rohan,Workplace Equality Policy,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Ananya,Environmental Protection Act,This step is crucial for a better future.,positive,Tamil Nadu,Chennai
Sanya,Transport Safety Policy,This seems more like a political stunt than a real solution.,negative,Gujarat,Surat
Aditya,Workplace Equality Policy,"The idea is good, execution will matter.",neutral,Punjab,Ludhiana
Aarav,Healthcare Access Policy,This step is crucial for a better future.,positive,Delhi,New Delhi
Aditya,Healthcare Access Policy,This step is crucial for a better future.,positive,Punjab,Ludhiana
Aditya,Education Reform Policy,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Meera,Digital Privacy Act,Let's see how this works in practice.,neutral,Punjab,Chandigarh
Meera,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,West Bengal,Kolkata
Isha,Agriculture Sustainability Act,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Isha,Education Reform Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Howrah
Diya,Environmental Protection Act,This step is crucial for a better future.,positive,Rajasthan,Jaipur
Ananya,Housing Development Scheme,"The idea is good, execution will matter.",neutral,West Bengal,Siliguri
Aarav,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Rajasthan,Jodhpur
Aarav,Transport Safety Policy,Too early to judge its effectiveness.,neutral,Punjab,Chandigarh
Harshit,Education Reform Policy,Too early to judge its effectiveness.,neutral,Maharashtra,Nagpur
Meera,Education Reform Policy,This step is crucial for a better future.,positive,Rajasthan,Jodhpur
Aarav,Transport Safety Policy,"A very thoughtful policy, proud of this government.",positive,Kerala,Thiruvananthapuram
Harshit,Housing Development Scheme,This is just another headline without substance.,negative,Tamil Nadu,Coimbatore
Aditya,Agriculture Sustainability Act,This step is crucial for a better future.,positive,Rajasthan,Udaipur
Harshit,Cybersecurity Protection Policy,This is just another headline without substance.,negative,Gujarat,Surat
Harshit,Renewable Energy Adoption Policy,The implementation will likely fail like before.,negative,Uttar Pradesh,Kanpur
Diya,Transport Safety Policy,This is just another headline without substance.,negative,Rajasthan,Udaipur
Kabir,Transport Safety Policy,Happy to see this reform being implemented.,positive,Uttar Pradesh,Varanasi
Aarav,Digital Privacy Act,"A very thoughtful policy, proud of this government.",positive,Maharashtra,Pune
Ananya,Healthcare Access Policy,This seems more like a political stunt than a real solution.,negative,Uttar Pradesh,Lucknow
Harshit,Transport Safety Policy,"The idea is good, execution will matter.",neutral,Punjab,Chandigarh
Isha,Education Reform Policy,"The idea is good, execution will matter.",neutral,Delhi,New Delhi
Meera,Education Reform Policy,Not sure if this will help in real situations.,negative,Uttar Pradesh,Varanasi
Isha,Workplace Equality Policy,Neither good nor bad at this stage.,neutral,Karnataka,Mangalore
Aditya,Digital Privacy Act,Too early to judge its effectiveness.,neutral,Delhi,New Delhi
Kabir,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,Tamil Nadu,Madurai
Meera,Education Reform Policy,Let's see how this works in practice.,neutral,Tamil Nadu,Chennai
Rohan,Agriculture Sustainability Act,Happy to see this reform being implemented.,positive,West Bengal,Siliguri
Aditya,Renewable Energy Adoption Policy,Let's see how this works in practice.,neutral,Kerala,Kozhikode
Kabir,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,Karnataka,Mangalore
Diya,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Karnataka,Mangalore
Meera,Healthcare Access Policy,"A very thoughtful policy, proud of this government.",positive,Uttar Pradesh,Varanasi
Harshit,Education Reform Policy,"The idea is good, execution will matter.",neutral,Rajasthan,Jaipur
Isha,Transport Safety Policy,Happy to see this reform being implemented.,positive,Punjab,Ludhiana
Meera,Workplace Equality Policy,Not sure if this will help in real situations.,negative,West Bengal,Howrah
Isha,Housing Development Scheme,"The idea is good, execution will matter.",neutral,Gujarat,Surat
Rohan,Renewable Energy Adoption Policy,This is just another headline without substance.,negative,Maharashtra,Mumbai
Diya,Digital Privacy Act,Let's see how this works in practice.,neutral,Maharashtra,Mumbai
Ananya,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,Tamil Nadu,Madurai
Ananya,Agriculture Sustainability Act,Not sure if this will help in real situations.,negative,Karnataka,Mysuru
Harshit,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,Uttar Pradesh,Lucknow
Isha,Healthcare Access Policy,This is just another headline without substance.,negative,Maharashtra,Mumbai
Kabir,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Karnataka,Mysuru
Isha,Cybersecurity Protection Policy,Not sure if this will help in real situations.,negative,Delhi,New Delhi
Aditya,Digital Privacy Act,This step is crucial for a better future.,positive,Punjab,Amritsar
Kabir,Agriculture Sustainability Act,Not sure if this will help in real situations.,negative,Punjab,Chandigarh
Harshit,Renewable Energy Adoption Policy,A waste of resources and poorly planned.,negative,Gujarat,Surat
Meera,Agriculture Sustainability Act,"A very thoughtful policy, proud of this government.",positive,Punjab,Ludhiana
Aditya,Education Reform Policy,Not sure if this will help in real situations.,negative,Punjab,Chandigarh
Kabir,Digital Privacy Act,This step is crucial for a better future.,positive,West Bengal,Howrah
Meera,Workplace Equality Policy,"A very thoughtful policy, proud of this government.",positive,Karnataka,Bengaluru
Sanya,Environmental Protection Act,Let's see how this works in practice.,neutral,Uttar Pradesh,Lucknow
Harshit,Healthcare Access Policy,"This will bring positive changes, I support it fully.",positive,Kerala,Kochi
Aditya,Cybersecurity Protection Policy,Happy to see this reform being implemented.,positive,Karnataka,Mangalore
Meera,Housing Development Scheme,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Harshit,Cybersecurity Protection Policy,Neither good nor bad at this stage.,neutral,Kerala,Kochi
Aarav,Healthcare Access Policy,Not sure if this will help in real situations.,negative,Rajasthan,Udaipur
Ananya,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,West Bengal,Kolkata
Aarav,Cybersecurity Protection Policy,"The idea is good, execution will matter.",neutral,Punjab,Ludhiana
Ananya,Healthcare Access Policy,The implementation will likely fail like before.,negative,Uttar Pradesh,Varanasi
Harshit,Housing Development Scheme,This initiative will improve lives and create opportunities.,positive,Delhi,New Delhi
Ananya,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Uttar Pradesh,Lucknow
Aditya,Healthcare Access Policy,Let's see how this works in practice.,neutral,Tamil Nadu,Coimbatore
Aditya,Workplace Equality Policy,Not sure if this will help in real situations.,negative,Gujarat,Surat
Diya,Environmental Protection Act,Happy to see this reform being implemented.,positive,West Bengal,Howrah
Aditya,Cybersecurity Protection Policy,This step is crucial for a better future.,positive,Karnataka,Mangalore
Ananya,Workplace Equality Policy,Happy to see this reform being implemented.,positive,Uttar Pradesh,Lucknow
Isha,Transport Safety Policy,Not sure if this will help in real situations.,negative,Tamil Nadu,Chennai
Ananya,Digital Privacy Act,This seems more like a political stunt than a real solution.,negative,Gujarat,Ahmedabad
Harshit,Education Reform Policy,Not sure if this will help in real situations.,negative,Punjab,Amritsar
Isha,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Delhi,New Delhi
Rohan,Housing Development Scheme,This initiative will improve lives and create opportunities.,positive,Gujarat,Surat
Kabir,Education Reform Policy,Let's see how this works in practice.,neutral,Gujarat,Vadodara
Sanya,Cybersecurity Protection Policy,The implementation will likely fail like before.,negative,Rajasthan,Jodhpur
Kabir,Transport Safety Policy,This initiative will improve lives and create opportunities.,positive,Maharashtra,Mumbai
Rohan,Workplace Equality Policy,This seems more like a political stunt than a real solution.,negative,Kerala,Kochi
Kabir,Digital Privacy Act,"The idea is good, execution will matter.",neutral,Karnataka,Mangalore
Diya,Housing Development Scheme,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Madurai
Diya,Agriculture Sustainability Act,The implementation will likely fail like before.,negative,Gujarat,Ahmedabad
Ananya,Environmental Protection Act,Not sure if this will help in real situations.,negative,Karnataka,Bengaluru
Sanya,Digital Privacy Act,The implementation will likely fail like before.,negative,Punjab,Ludhiana
Aditya,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,Karnataka,Bengaluru
Sanya,Digital Privacy Act,Let's see how this works in practice.,neutral,Rajasthan,Jodhpur
Diya,Education Reform Policy,Let's see how this works in practice.,neutral,Delhi,New Delhi
Aditya,Transport Safety Policy,This is just another headline without substance.,negative,West Bengal,Howrah
Aarav,Renewable Energy Adoption Policy,This seems more like a political stunt than a real solution.,negative,Karnataka,Mysuru
Diya,Digital Privacy Act,Mixed feelings about this policy.,neutral,Maharashtra,Pune
Ananya,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Nagpur
Rohan,Digital Privacy Act,This initiative will improve lives and create opportunities.,positive,Gujarat,Surat
Aarav,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Siliguri
Harshit,Cybersecurity Protection Policy,This seems more like a political stunt than a real solution.,negative,Maharashtra,Mumbai
Kabir,Workplace Equality Policy,The implementation will likely fail like before.,negative,Karnataka,Mangalore
Aarav,Workplace Equality Policy,Too early to judge its effectiveness.,neutral,Karnataka,Mysuru
Isha,Healthcare Access Policy,Too early to judge its effectiveness.,neutral,Punjab,Amritsar
Meera,Workplace Equality Policy,"The idea is good, execution will matter.",neutral,Kerala,Kochi
Sanya,Education Reform Policy,The implementation will likely fail like before.,negative,Gujarat,Vadodara
Sanya,Housing Development Scheme,"This will bring positive changes, I support it fully.",positive,Karnataka,Bengaluru
Meera,Renewable Energy Adoption Policy,Mixed feelings about this policy.,neutral,Karnataka,Mangalore
Kabir,Workplace Equality Policy,"A very thoughtful policy, proud of this government.",positive,Rajasthan,Jodhpur
Isha,Digital Privacy Act,This step is crucial for a better future.,positive,Tamil Nadu,Coimbatore
Aarav,Education Reform Policy,The implementation will likely fail like before.,negative,Uttar Pradesh,Kanpur
Harshit,Digital Privacy Act,The implementation will likely fail like before.,negative,Maharashtra,Pune
Sanya,Transport Safety Policy,Mixed feelings about this policy.,neutral,Rajasthan,Jaipur
Harshit,Transport Safety Policy,"The idea is good, execution will matter.",neutral,West Bengal,Siliguri
Aarav,Digital Privacy Act,Mixed feelings about this policy.,neutral,Rajasthan,Udaipur
Ananya,Housing Development Scheme,Mixed feelings about this policy.,neutral,Punjab,Chandigarh
Aarav,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,Karnataka,Mangalore
Meera,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,Gujarat,Vadodara
Kabir,Agriculture Sustainability Act,A waste of resources and poorly planned.,negative,West Bengal,Kolkata
Aarav,Agriculture Sustainability Act,"This will bring positive changes, I support it fully.",positive,Punjab,Chandigarh
Aditya,Housing Development Scheme,This seems more like a political stunt than a real solution.,negative,Gujarat,Vadodara
Aditya,Agriculture Sustainability Act,This initiative will improve lives and create opportunities.,positive,Gujarat,Surat
Diya,Environmental Protection Act,Too early to judge its effectiveness.,neutral,West Bengal,Howrah
Aditya,Cybersecurity Protection Policy,This step is crucial for a better future.,positive,Maharashtra,Pune
Ananya,Agriculture Sustainability Act,Neither good nor bad at this stage.,neutral,West Bengal,Siliguri
Harshit,Digital Privacy Act,Let's see how this works in practice.,neutral,West Bengal,Kolkata
Aarav,Education Reform Policy,Happy to see this reform being implemented.,positive,Gujarat,Surat
Aarav,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Uttar Pradesh,Varanasi
Harshit,Housing Development Scheme,This is just another headline without substance.,negative,Karnataka,Bengaluru
Rohan,Renewable Energy Adoption Policy,"This will bring positive changes, I support it fully.",positive,Maharashtra,Mumbai
Meera,Digital Privacy Act,Neither good nor bad at this stage.,neutral,Gujarat,Ahmedabad
Aarav,Renewable Energy Adoption Policy,Not sure if this will help in real situations.,negative,Rajasthan,Jaipur
Kabir,Environmental Protection Act,The implementation will likely fail like before.,negative,Gujarat,Surat
Rohan,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Punjab,Ludhiana
Ananya,Housing Development Scheme,Too early to judge its effectiveness.,neutral,Gujarat,Ahmedabad
Isha,Workplace Equality Policy,The implementation will likely fail like before.,negative,Kerala,Thiruvananthapuram
Isha,Workplace Equality Policy,This initiative will improve lives and create opportunities.,positive,Punjab,Chandigarh
Rohan,Digital Privacy Act,Too early to judge its effectiveness.,neutral,Punjab,Ludhiana
Aarav,Workplace Equality Policy,Let's see how this works in practice.,neutral,Gujarat,Surat
Harshit,Agriculture Sustainability Act,Too early to judge its effectiveness.,neutral,Punjab,Ludhiana
Rohan,Transport Safety Policy,A waste of resources and poorly planned.,negative,Karnataka,Bengaluru
Ananya,Environmental Protection Act,Too early to judge its effectiveness.,neutral,Rajasthan,Jaipur
Aarav,Renewable Energy Adoption Policy,Happy to see this reform being implemented.,positive,Punjab,Chandigarh
Meera,Digital Privacy Act,This seems more like a political stunt than a real solution.,negative,Kerala,Kochi
Aarav,Renewable Energy Adoption Policy,This is just another headline without substance.,negative,Gujarat,Ahmedabad
Aditya,Renewable Energy Adoption Policy,Happy to see this reform being implemented.,positive,Gujarat,Ahmedabad
Meera,Cybersecurity Protection Policy,Not sure if this will help in real situations.,negative,Uttar Pradesh,Varanasi
Sanya,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Punjab,Amritsar
Aditya,Transport Safety Policy,"A very thoughtful policy, proud of this government.",positive,Maharashtra,Nagpur
Harshit,Healthcare Access Policy,Too early to judge its effectiveness.,neutral,Gujarat,Surat
Harshit,Education Reform Policy,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Aditya,Housing Development Scheme,Happy to see this reform being implemented.,positive,Uttar Pradesh,Lucknow
Kabir,Transport Safety Policy,Not sure if this will help in real situations.,negative,Kerala,Kozhikode
Ananya,Workplace Equality Policy,"A very thoughtful policy, proud of this government.",positive,Gujarat,Ahmedabad
Aditya,Environmental Protection Act,A waste of resources and poorly planned.,negative,Kerala,Kochi
Diya,Digital Privacy Act,Let's see how this works in practice.,neutral,Rajasthan,Udaipur
Rohan,Housing Development Scheme,This is just another headline without substance.,negative,Gujarat,Ahmedabad
Aarav,Housing Development Scheme,A waste of resources and poorly planned.,negative,Gujarat,Ahmedabad
Aditya,Housing Development Scheme,Happy to see this reform being implemented.,positive,Delhi,New Delhi
Harshit,Environmental Protection Act,This initiative will improve lives and create opportunities.,positive,Kerala,Kochi
Isha,Education Reform Policy,The implementation will likely fail like before.,negative,Maharashtra,Nagpur
Isha,Education Reform Policy,This is just another headline without substance.,negative,Karnataka,Bengaluru
Diya,Environmental Protection Act,Neither good nor bad at this stage.,neutral,Tamil Nadu,Chennai
Aarav,Housing Development Scheme,This is just another headline without substance.,negative,Delhi,New Delhi
Harshit,Workplace Equality Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Howrah
Ananya,Cybersecurity Protection Policy,This is just another headline without substance.,negative,Tamil Nadu,Coimbatore
Isha,Agriculture Sustainability Act,This is just another headline without substance.,negative,Kerala,Kozhikode
Aarav,Workplace Equality Policy,Neither good nor bad at this stage.,neutral,Karnataka,Bengaluru
Meera,Transport Safety Policy,Too early to judge its effectiveness.,neutral,Karnataka,Mangalore
Harshit,Agriculture Sustainability Act,"A very thoughtful policy, proud of this government.",positive,Karnataka,Mangalore
Rohan,Environmental Protection Act,Mixed feelings about this policy.,neutral,Gujarat,Surat
Aarav,Education Reform Policy,Happy to see this reform being implemented.,positive,Kerala,Kozhikode
Ananya,Housing Development Scheme,"This will bring positive changes, I support it fully.",positive,Gujarat,Surat
Harshit,Housing Development Scheme,Mixed feelings about this policy.,neutral,Karnataka,Mysuru
Isha,Digital Privacy Act,Not sure if this will help in real situations.,negative,Gujarat,Ahmedabad
Aditya,Agriculture Sustainability Act,Mixed feelings about this policy.,neutral,Punjab,Chandigarh
Rohan,Environmental Protection Act,A waste of resources and poorly planned.,negative,Rajasthan,Jaipur
Isha,Education Reform Policy,A waste of resources and poorly planned.,negative,Kerala,Kozhikode
Aarav,Healthcare Access Policy,The implementation will likely fail like before.,negative,Delhi,New Delhi
Diya,Agriculture Sustainability Act,Let's see how this works in practice.,neutral,Punjab,Chandigarh
Sanya,Healthcare Access Policy,Mixed feelings about this policy.,neutral,Kerala,Thiruvananthapuram
Meera,Cybersecurity Protection Policy,"This will bring positive changes, I support it fully.",positive,Punjab,Amritsar
Sanya,Education Reform Policy,Mixed feelings about this policy.,neutral,Kerala,Kochi
Meera,Transport Safety Policy,This is just another headline without substance.,negative,Karnataka,Mysuru
Sanya,Healthcare Access Policy,A waste of resources and poorly planned.,negative,Tamil Nadu,Coimbatore
Rohan,Education Reform Policy,Too early to judge its effectiveness.,neutral,Gujarat,Ahmedabad
Sanya,Digital Privacy Act,A waste of resources and poorly planned.,negative,Rajasthan,Udaipur
Rohan,Workplace Equality Policy,"The idea is good, execution will matter.",neutral,Kerala,Kozhikode
Meera,Healthcare Access Policy,Happy to see this reform being implemented.,positive,Rajasthan,Jodhpur
Diya,Renewable Energy Adoption Policy,This initiative will improve lives and create opportunities.,positive,West Bengal,Kolkata
Sanya,Digital Privacy Act,"A very thoughtful policy, proud of this government.",positive,Punjab,Chandigarh
Diya,Transport Safety Policy,Neither good nor bad at this stage.,neutral,Gujarat,Vadodara
Ananya,Housing Development Scheme,Neither good nor bad at this stage.,neutral,Tamil Nadu,Chennai
Isha,Workplace Equality Policy,The implementation will likely fail like before.,negative,Delhi,New Delhi
Ananya,Transport Safety Policy,Happy to see this reform being implemented.,positive,Kerala,Kochi
Sanya,Agriculture Sustainability Act,A waste of resources and poorly planned.,negative,Delhi,New Delhi
Rohan,Environmental Protection Act,This is just another headline without substance.,negative,Delhi,New Delhi
Isha,Transport Safety Policy,"This will bring positive changes, I support it fully.",positive,Tamil Nadu,Madurai
